source_path,relative_path,file_name,file_type,size,last_modified,hash,detected_category,risk_classification,contains_code,contains_secret_pattern,migration_recommendation,target_ak_registry,quarantine_required,notes
D:\Alkasik\learning\__init__.py,__init__.py,__init__.py,python_source,1815,2026-05-31T04:41:46.565975+00:00,ab2f6bc46fef3faa,ENGINEERING_KNOWLEDGE,MEDIUM,True,False,QUARANTINE_IMPORT,memory/legacy_corpus/quarantine,True,
D:\Alkasik\learning\activation_script.md,activation_script.md,activation_script.md,markdown_document,1706,2026-06-03T22:02:40.955278+00:00,a1dfaaf3b9586ec8,UNKNOWN,LOW,False,False,REQUIRES_SAGE_REVIEW,memory/legacy_corpus/quarantine,False,
D:\Alkasik\learning\agent_tasks_week0.md,agent_tasks_week0.md,agent_tasks_week0.md,markdown_document,4412,2026-05-29T15:19:50.369817+00:00,8f81d19c7fcd3672,UNKNOWN,LOW,False,False,REQUIRES_SAGE_REVIEW,memory/legacy_corpus/quarantine,False,
D:\Alkasik\learning\approved\skills\langgraph_skill_template.json,approved\skills\langgraph_skill_template.json,langgraph_skill_template.json,json_data,760,2026-05-29T15:40:09.883963+00:00,0179d5c0cd07650d,SKILL,LOW,False,False,APPROVED_FOR_REVIEW,memory/skill_registry,False,
D:\Alkasik\learning\approved\skills\mcp_integration_template.json,approved\skills\mcp_integration_template.json,mcp_integration_template.json,json_data,613,2026-05-29T15:40:30.134049+00:00,b912bbb2e0befa37,SKILL,LOW,False,False,APPROVED_FOR_REVIEW,memory/skill_registry,False,
D:\Alkasik\learning\behavior_forecasting\__init__.py,behavior_forecasting\__init__.py,__init__.py,python_source,123,2026-05-31T04:29:02.139941+00:00,4a865ddb1e901982,DECISION_TRACE,MEDIUM,True,False,QUARANTINE_IMPORT,memory/decision_trace_registry,True,
D:\Alkasik\learning\behavior_forecasting\behavior_forecaster.py,behavior_forecasting\behavior_forecaster.py,behavior_forecaster.py,python_source,25894,2026-05-31T04:12:19.260397+00:00,86cc82ce7672a8a4,DECISION_TRACE,MEDIUM,True,False,QUARANTINE_IMPORT,memory/decision_trace_registry,True,
D:\Alkasik\learning\cognitive_market_intelligence.py,cognitive_market_intelligence.py,cognitive_market_intelligence.py,python_source,10088,2026-06-04T07:33:45.388190+00:00,f6aeb21c2e46d960,MARKET_INTELLIGENCE,MEDIUM,True,False,QUARANTINE_IMPORT,memory/legacy_corpus/quarantine,True,
D:\Alkasik\learning\config\market_sources_config.yaml,config\market_sources_config.yaml,market_sources_config.yaml,yaml_config,1225,2026-05-29T15:24:10.567267+00:00,e922bdd412f14e50,MARKET_INTELLIGENCE,LOW,False,False,REQUIRES_SAGE_REVIEW,memory/legacy_corpus/quarantine,False,
D:\Alkasik\learning\continuous_learning_executor.md,continuous_learning_executor.md,continuous_learning_executor.md,markdown_document,1373,2026-05-29T23:41:24.897662+00:00,2ff301a82b1edb53,UNKNOWN,LOW,False,False,REQUIRES_SAGE_REVIEW,memory/legacy_corpus/quarantine,False,
D:\Alkasik\learning\datasets\dataset_builder_status.json,datasets\dataset_builder_status.json,dataset_builder_status.json,json_data,688,2026-05-29T23:28:34.649930+00:00,b73d832c6651dea5,DATASET,LOW,False,False,REQUIRES_SAGE_REVIEW,memory/dataset_registry,False,
D:\Alkasik\learning\datasets\iris_market_research.md,datasets\iris_market_research.md,iris_market_research.md,markdown_document,1222,2026-05-29T16:03:10.463561+00:00,6ad1392f39f80acb,MARKET_INTELLIGENCE,LOW,False,False,REQUIRES_SAGE_REVIEW,memory/legacy_corpus/quarantine,False,
D:\Alkasik\learning\datasets\market_patterns\iris_pattern_database.json,datasets\market_patterns\iris_pattern_database.json,iris_pattern_database.json,json_data,825,2026-05-29T23:19:10.484036+00:00,7808187eff1effc4,MARKET_INTELLIGENCE,LOW,False,False,REQUIRES_SAGE_REVIEW,memory/legacy_corpus/quarantine,False,
